"No","日時","操作","アイテム","数量","操作者","同盟ポイント"
1,"2025/01/18 00:04:11","取り出す","ピンクシュガー",1000,"エルマス",-40000
2,"2025/01/18 00:05:09","預ける","コーヒー豆",200,"エルマス",42000
3,"2025/01/18 00:27:11","取り出す","ピンクシュガー",309,"ikanshi",-12360
4,"2025/01/18 01:35:28","取り出す","ピンクシュガー",400,"くまくん",-16000
5,"2025/01/18 01:36:50","取り出す","オレンジ",500,"くまくん",-90000
6,"2025/01/18 01:36:59","取り出す","ニンジン",480,"くまくん",-172800
7,"2025/01/18 01:52:19","取り出す","ピンクシュガー",250,"マオマオ",-10000
8,"2025/01/18 06:05:02","取り出す","ピンクシュガー",300,"sae",-12000
9,"2025/01/18 08:10:59","取り出す","ピンクシュガー",500,"iamy",-20000
10,"2025/01/18 08:11:25","取り出す","あんパン",200,"iamy",-75000
11,"2025/01/18 08:11:37","取り出す","チョコアイス",200,"iamy",-165800
12,"2025/01/18 08:11:57","取り出す","パスタ",10,"iamy",-790
13,"2025/01/18 08:12:13","取り出す","テンサイ",200,"iamy",-2000
14,"2025/01/18 08:12:21","預ける","ジャガイモ",120,"iamy",10800
15,"2025/01/18 08:12:28","預ける","大豆",100,"iamy",15000
16,"2025/01/18 08:12:33","預ける","ラズベリー",100,"iamy",42000
17,"2025/01/18 08:51:27","取り出す","オレンジ",300,"ざうるす",-54000
18,"2025/01/18 08:51:42","取り出す","ピンクシュガー",300,"ざうるす",-12000
19,"2025/01/18 09:00:31","取り出す","チョコレートケーキ",100,"くまくん",-86800
20,"2025/01/18 09:00:43","取り出す","ベーコン",200,"くまくん",-16000
21,"2025/01/18 09:15:21","取り出す","オレンジ",200,"ちひ",-36000
22,"2025/01/18 09:15:36","預ける","コーヒー豆",50,"ちひ",10500
23,"2025/01/18 09:15:43","預ける","ジャガイモ",100,"ちひ",9000
24,"2025/01/18 12:45:13","取り出す","オレンジ",300,"ikanshi",-54000
25,"2025/01/18 12:49:39","預ける","オレンジジュース",1000,"ikanshi",423000
26,"2025/01/18 12:49:49","預ける","キャロットパスタ",50,"ikanshi",44900
27,"2025/01/18 15:37:11","取り出す","小麦粉",500,"くまくん",-5000
28,"2025/01/18 15:37:18","取り出す","ピンクシュガー",500,"くまくん",-20000
29,"2025/01/18 15:37:28","取り出す","オレンジ",500,"くまくん",-90000
30,"2025/01/18 15:37:53","取り出す","ニンジン",500,"くまくん",-180000
31,"2025/01/18 18:32:36","取り出す","パスタ",6,"iamy",-474
32,"2025/01/18 18:32:54","取り出す","ピンクシュガー",100,"マオマオ",-4000
33,"2025/01/18 18:41:17","取り出す","ピンクシュガー",224,"ikanshi",-8960
34,"2025/01/18 19:51:15","取り出す","ピンクシュガー",1000,"エルマス",-40000
35,"2025/01/18 19:51:28","預ける","パスタ",100,"エルマス",7900
36,"2025/01/18 19:51:42","取り出す","オレンジ",500,"エルマス",-90000
37,"2025/01/18 20:05:54","取り出す","オレンジ",500,"iamy",-90000
38,"2025/01/18 20:06:03","取り出す","パスタ",10,"iamy",-790
39,"2025/01/18 20:06:27","預ける","大豆",100,"iamy",15000
40,"2025/01/18 20:06:44","取り出す","ニンジン",300,"iamy",-108000
41,"2025/01/18 20:25:57","取り出す","オレンジ",300,"ikanshi",-54000
42,"2025/01/18 20:26:07","取り出す","ピンクシュガー",300,"ikanshi",-12000
43,"2025/01/18 20:31:07","預ける","コメ",1000,"エルド",5000
44,"2025/01/18 20:31:19","取り出す","キャベツ",400,"エルド",-1200
45,"2025/01/18 20:31:23","取り出す","小麦",500,"エルド",-500
46,"2025/01/18 20:31:30","預ける","ジャガイモ",500,"エルド",45000
47,"2025/01/18 20:31:32","取り出す","パスタ",10,"マオマオ",-790
48,"2025/01/18 20:31:37","預ける","タマネギ",600,"エルド",9000
49,"2025/01/18 20:31:46","預ける","コーヒー豆",500,"エルド",105000
50,"2025/01/18 20:31:59","預ける","チーズ",300,"エルド",3600
51,"2025/01/18 20:32:11","預ける","ピンクシュガー",80,"エルド",3200
52,"2025/01/18 20:32:15","取り出す","ピンクシュガー",50,"エルド",-2000
53,"2025/01/18 20:32:34","預ける","グレーフライ",300,"エルド",4800
54,"2025/01/18 20:32:40","預ける","魚肉",300,"エルド",3000
55,"2025/01/18 20:55:52","預ける","魚肉",700,"くまくん",7000
56,"2025/01/18 20:56:01","取り出す","グレーフライ",700,"くまくん",-11200
57,"2025/01/18 21:18:47","預ける","サカナの姿焼き",200,"シンリ",18000
58,"2025/01/18 21:19:05","預ける","キャロットパスタ",150,"シンリ",134700
59,"2025/01/18 21:19:14","預ける","オレンジジュース",1000,"シンリ",423000
60,"2025/01/18 21:19:36","預ける","大理石",200,"シンリ",2400
61,"2025/01/18 21:19:46","預ける","木柱",200,"シンリ",2400
62,"2025/01/18 21:19:56","預ける","石材",200,"シンリ",2400
63,"2025/01/18 21:23:35","預ける","オレンジジュース",2000,"くまくん",846000
64,"2025/01/18 21:23:55","取り出す","オレンジ",400,"くまくん",-72000
65,"2025/01/18 21:52:23","取り出す","パスタ",40,"ざうるす",-3160
66,"2025/01/18 21:52:30","取り出す","粉チーズ",1,"ざうるす",-54
67,"2025/01/18 21:52:32","取り出す","粉チーズ",1,"ざうるす",-54
68,"2025/01/18 21:52:37","取り出す","粉チーズ",50,"ざうるす",-2700
69,"2025/01/18 22:10:20","取り出す","ピンクシュガー",50,"マオマオ",-2000
